ensembl_gene_id,chr_name,gene_name,Description,gene_start,gene_end,min_snp,p,pos,aff,unaff,upstream,downstream,in_gene,nAff,nUnaff,FDR,dist2Gene
ENSOCUG00000003723,chr20,NA,NA,14399979,14454407,105806_74,1.0669999999999999e-4,14408259,0/13/27,0/0/35,FALSE,FALSE,TRUE,40,35,0.11831577999999998,0
ENSOCUG00000021409,chr20,NA,NA,14335871,14385264,105806_74,1.0669999999999999e-4,14408259,0/13/27,0/0/35,FALSE,TRUE,FALSE,40,35,0.11831577999999998,22995
ENSOCUG00000014336,GL018699,MVB12B,multivesicular body subunit 12B [Source:HGNC Symbol;Acc:HGNC:23368],994182,1153683,196972_57,1.445e-4,998519,11/23/5,4/11/21,FALSE,FALSE,TRUE,39,36,0.11831577999999998,0
ENSOCUG00000003719,GL018803,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]",466459,629912,237753_0,1.4639999999999998e-4,458117,0/28/13,7/10/19,FALSE,TRUE,FALSE,41,36,0.11831577999999998,8342
ENSOCUG00000003726,GL018803,NA,NA,457793,463070,237753_0,1.4639999999999998e-4,458117,0/28/13,7/10/19,FALSE,FALSE,TRUE,41,36,0.11831577999999998,0
ENSOCUG00000003728,GL018803,CPSF3,cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326],413492,453654,237753_0,1.4639999999999998e-4,458117,0/28/13,7/10/19,TRUE,FALSE,FALSE,41,36,0.11831577999999998,4463
ENSOCUG00000026669,GL018803,IAH1,isoamyl acetate-hydrolyzing esterase 1 homolog [Source:HGNC Symbol;Acc:HGNC:27696],401523,419354,237753_0,1.4639999999999998e-4,458117,0/28/13,7/10/19,TRUE,FALSE,FALSE,41,36,0.11831577999999998,38763
ENSOCUG00000002055,chr15,ZNF827,zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193],18743527,18931919,50206_59,1.629e-4,18935025,0/12/24,0/0/35,FALSE,TRUE,FALSE,36,35,0.11831577999999998,3106
ENSOCUG00000005714,chr18,GBF1,golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181],50258383,50395693,75479_35,1.64e-4,50410769,0/16/24,0/1/33,FALSE,TRUE,FALSE,40,34,0.11831577999999998,15076
ENSOCUG00000005735,chr18,NFKB2,nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795],50404865,50412625,75479_35,1.64e-4,50410769,0/16/24,0/1/33,FALSE,FALSE,TRUE,40,34,0.11831577999999998,0
ENSOCUG00000005751,chr18,PSD,pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507],50408800,50425193,75479_35,1.64e-4,50410769,0/16/24,0/1/33,FALSE,FALSE,TRUE,40,34,0.11831577999999998,0
ENSOCUG00000005764,chr18,FBXL15,F-box and leucine rich repeat protein 15 [Source:HGNC Symbol;Acc:HGNC:28155],50427809,50429636,75479_35,1.64e-4,50410769,0/16/24,0/1/33,TRUE,FALSE,FALSE,40,34,0.11831577999999998,17040
ENSOCUG00000023995,chr18,CUEDC2,CUE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28352],50429890,50431822,75479_35,1.64e-4,50410769,0/16/24,0/1/33,FALSE,TRUE,FALSE,40,34,0.11831577999999998,19121
ENSOCUG00000014254,GL018764,SPACA9,sperm acrosome associated 9 [Source:HGNC Symbol;Acc:HGNC:1367],1444930,1449687,228803_41,1.684e-4,1463825,12/23/4,4/11/18,FALSE,TRUE,FALSE,39,33,0.11831577999999998,14138
ENSOCUG00000014262,GL018764,NA,NA,1454661,1469879,228803_41,1.684e-4,1463825,12/23/4,4/11/18,FALSE,FALSE,TRUE,39,33,0.11831577999999998,0
ENSOCUG00000002557,chr14,CLSTN2,calsyntenin 2 [Source:HGNC Symbol;Acc:HGNC:17448],33978775,34100949,43887_2,1.695e-4,33954568,0/13/14,6/1/11,TRUE,FALSE,FALSE,27,18,0.11831577999999998,24207
ENSOCUG00000005141,chr4,CHST11,carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422],83551754,83794668,147246_6,1.781e-4,83614266,0/14/24,10/5/15,FALSE,FALSE,TRUE,38,30,0.11831577999999998,0
ENSOCUG00000008882,GL019142,NA,NA,86691,90980,268052_37,1.804e-4,76950,10/20/3,3/9/16,FALSE,TRUE,FALSE,33,28,0.11831577999999998,9741
ENSOCUG00000016872,GL019142,TBC1D13,TBC1 domain family member 13 [Source:HGNC Symbol;Acc:HGNC:25571],56819,78052,268052_37,1.804e-4,76950,10/20/3,3/9/16,FALSE,FALSE,TRUE,33,28,0.11831577999999998,0
ENSOCUG00000021275,GL019142,ENDOG,endonuclease G [Source:HGNC Symbol;Acc:HGNC:3346],84650,86639,268052_37,1.804e-4,76950,10/20/3,3/9/16,TRUE,FALSE,FALSE,33,28,0.11831577999999998,7700
ENSOCUG00000026753,GL019142,KYAT1,kynurenine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1564],93846,105804,268052_37,1.804e-4,76950,10/20/3,3/9/16,FALSE,TRUE,FALSE,33,28,0.11831577999999998,16896
ENSOCUG00000008879,chr12,ARID1B,AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040],147077022,147523090,13151_59,1.9229999999999999e-4,147148132,0/0/41,2/8/25,FALSE,FALSE,TRUE,41,35,0.11831577999999998,0
ENSOCUG00000025701,chr19,NA,NA,46187260,46225746,85953_35,2.444e-4,46257442,1/2/17,0/14/6,FALSE,TRUE,FALSE,20,20,0.1246059203125,31696
ENSOCUG00000028114,chr19,SPPL2C,signal peptide peptidase like 2C [Source:HGNC Symbol;Acc:HGNC:28902],46228846,46230442,85953_35,2.444e-4,46257442,1/2/17,0/14/6,FALSE,TRUE,FALSE,20,20,0.1246059203125,27e3
ENSOCUG00000000863,GL018699,ASTN2,astrotactin 2 [Source:HGNC Symbol;Acc:HGNC:17021],10140917,11164205,195175_44,2.4829999999999996e-4,10267436,1/10/31,1/23/11,FALSE,FALSE,TRUE,42,35,0.1246059203125,0
ENSOCUG00000001277,chr3,NECAB1,N-terminal EF-hand calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20983],106308076,106542225,126230_32,2.703e-4,106384157,6/11/20,5/15/1,FALSE,FALSE,TRUE,37,21,0.1246059203125,0
ENSOCUG00000017890,chr12,MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:HGNC Symbol;Acc:HGNC:19267],27477453,27531417,16363_9,2.9749999999999997e-4,27460280,2/13/18,0/1/27,FALSE,TRUE,FALSE,33,28,0.1246059203125,17173
ENSOCUG00000014455,chr12,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase family member 1  [Source:RefSeq peptide;Acc:NP_001076211],122085211,122126277,11421_1,3.125e-4,122116974,1/17/12,6/4/23,FALSE,FALSE,TRUE,30,33,0.1246059203125,0
ENSOCUG00000000323,GL019134,NUP188,nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859],93773,138709,267752_71,3.179e-4,69323,12/24/6,4/11/20,FALSE,TRUE,FALSE,42,35,0.1246059203125,24450
ENSOCUG00000000328,GL019134,SH3GLB2,SH3 domain containing GRB2 like endophilin B2 [Source:HGNC Symbol;Acc:HGNC:10834],81347,92277,267752_71,3.179e-4,69323,12/24/6,4/11/20,TRUE,FALSE,FALSE,42,35,0.1246059203125,12024
ENSOCUG00000012585,GL019134,MIGA2,mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621],56346,72674,267752_71,3.179e-4,69323,12/24/6,4/11/20,FALSE,FALSE,TRUE,42,35,0.1246059203125,0
ENSOCUG00000027372,GL019134,DOLPP1,dolichyldiphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:29565],43008,49939,267752_71,3.179e-4,69323,12/24/6,4/11/20,TRUE,FALSE,FALSE,42,35,0.1246059203125,19384
ENSOCUG00000027939,GL019134,CRAT,carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342],31699,44050,267752_71,3.179e-4,69323,12/24/6,4/11/20,FALSE,TRUE,FALSE,42,35,0.1246059203125,25273
ENSOCUG00000029515,chr4,NA,NA,20067602,20284338,141475_7,3.4429999999999997e-4,20292010,0/19/13,10/9/8,TRUE,FALSE,FALSE,32,27,0.1246059203125,7672
ENSOCUG00000015436,chr10,ADAM22,ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201],40254952,40458404,2761_10,3.4889999999999997e-4,40343730,0/0/41,0/9/24,FALSE,FALSE,TRUE,41,33,0.1246059203125,0
ENSOCUG00000008220,chr16,KIF26B,kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484],21884829,22192337,56633_10,3.718e-4,21857758,3/18/18,1/1/21,FALSE,TRUE,FALSE,39,23,0.1246059203125,27071
ENSOCUG00000008229,chr16,SMYD3,SET and MYND domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15513],21606202,21853297,56633_10,3.718e-4,21857758,3/18/18,1/1/21,FALSE,TRUE,FALSE,39,23,0.1246059203125,4461
ENSOCUG00000013118,GL018764,MED27,mediator complex subunit 27 [Source:HGNC Symbol;Acc:HGNC:2377],605142,820691,228992_11,3.7329999999999997e-4,631320,11/22/4,3/8/15,FALSE,FALSE,TRUE,37,26,0.1246059203125,0
ENSOCUG00000014218,chr19,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408],50444643,50568164,86575_1,3.8229999999999997e-4,50496159,9/10/4,6/3/21,FALSE,FALSE,TRUE,23,30,0.1246059203125,0
ENSOCUG00000006638,chr12,KCNK17,potassium two pore domain channel subfamily K member 17 [Source:HGNC Symbol;Acc:HGNC:14465],29128170,29143791,16674_72,3.9769999999999996e-4,29170751,2/14/24,0/1/30,TRUE,FALSE,FALSE,40,31,0.1246059203125,26960
ENSOCUG00000006643,chr12,KCNK16,potassium two pore domain channel subfamily K member 16 [Source:HGNC Symbol;Acc:HGNC:14464],29145325,29152462,16674_72,3.9769999999999996e-4,29170751,2/14/24,0/1/30,TRUE,FALSE,FALSE,40,31,0.1246059203125,18289
ENSOCUG00000006645,chr12,KIF6,kinesin family member 6 [Source:HGNC Symbol;Acc:HGNC:21202],29159284,29597518,16674_72,3.9769999999999996e-4,29170751,2/14/24,0/1/30,FALSE,FALSE,TRUE,40,31,0.1246059203125,0
ENSOCUG00000013706,chr4,KIF16B,kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869],19567861,19883460,141418_50,4.082e-4,19806003,0/22/16,8/9/6,FALSE,FALSE,TRUE,38,23,0.1246059203125,0
ENSOCUG00000005094,chr7,INHBB,inhibin beta B subunit [Source:HGNC Symbol;Acc:HGNC:6067],62748296,62753560,167854_64,4.3769999999999996e-4,62773383,0/0/42,0/9/26,TRUE,FALSE,FALSE,42,35,0.1246059203125,19823
ENSOCUG00000005992,chr7,RALB,RALB Ras like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840],62795550,62817674,167854_64,4.3769999999999996e-4,62773383,0/0/42,0/9/26,FALSE,TRUE,FALSE,42,35,0.1246059203125,22167
ENSOCUG00000000258,GL018754,PDGFRA,platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803],203439,237590,225487_75,4.4709999999999997e-4,164153,0/6/25,12/5/17,FALSE,TRUE,FALSE,31,34,0.1246059203125,39286
ENSOCUG00000002473,GL018699,OLFML2A,olfactomedin like 2A [Source:HGNC Symbol;Acc:HGNC:27270],2500881,2532561,195931_68,4.552e-4,2517193,14/21/5,4/9/17,FALSE,FALSE,TRUE,40,30,0.1246059203125,0
ENSOCUG00000007599,GL018699,NR6A1,nuclear receptor subfamily 6 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7985],2538204,2790800,195931_68,4.552e-4,2517193,14/21/5,4/9/17,TRUE,FALSE,FALSE,40,30,0.1246059203125,21011
ENSOCUG00000007683,GL018699,RALGPS1,Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:HGNC:16851],386687,633979,196628_77,4.561e-4,638378,2/8/17,12/2/6,TRUE,FALSE,FALSE,27,20,0.1246059203125,4399
ENSOCUG00000025964,GL018699,ZBTB34,zinc finger and BTB domain containing 34 [Source:HGNC Symbol;Acc:HGNC:31446],664740,684859,196628_77,4.561e-4,638378,2/8/17,12/2/6,FALSE,TRUE,FALSE,27,20,0.1246059203125,26362
ENSOCUG00000005957,chr21,RNF34,ring finger protein 34 [Source:HGNC Symbol;Acc:HGNC:17297],6187354,6216546,110343_75,4.673e-4,6185579,0/11/24,0/0/31,FALSE,TRUE,FALSE,35,31,0.1246059203125,1775
ENSOCUG00000005961,chr21,KDM2B,lysine demethylase 2B [Source:HGNC Symbol;Acc:HGNC:13610],6027580,6182409,110343_75,4.673e-4,6185579,0/11/24,0/0/31,FALSE,TRUE,FALSE,35,31,0.1246059203125,3170
ENSOCUG00000015363,chr16,NFASC,neurofascin [Source:HGNC Symbol;Acc:HGNC:29866],67109779,67241356,61562_6,4.927999999999999e-4,67216671,0/11/27,0/0/34,FALSE,FALSE,TRUE,38,34,0.1246059203125,0
ENSOCUG00000006334,GL018867,MRPL41,mitochondrial ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:14492],491919,492497,248605_26,5.097e-4,488589,9/26/7,5/9/20,FALSE,TRUE,FALSE,42,34,0.1246059203125,3330
ENSOCUG00000012225,GL018867,ZMYND19,zinc finger MYND-type containing 19 [Source:HGNC Symbol;Acc:HGNC:21146],473768,478633,248605_26,5.097e-4,488589,9/26/7,5/9/20,FALSE,TRUE,FALSE,42,34,0.1246059203125,9956
ENSOCUG00000017544,GL018867,PNPLA7,patatin like phospholipase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:24768],493253,577156,248605_26,5.097e-4,488589,9/26/7,5/9/20,TRUE,FALSE,FALSE,42,34,0.1246059203125,4664
ENSOCUG00000017571,GL018867,DPH7,diphthamide biosynthesis 7 [Source:HGNC Symbol;Acc:HGNC:25199],481685,490729,248605_26,5.097e-4,488589,9/26/7,5/9/20,FALSE,FALSE,TRUE,42,34,0.1246059203125,0
ENSOCUG00000017576,GL018867,ARRDC1,arrestin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28633],451374,462285,248605_26,5.097e-4,488589,9/26/7,5/9/20,TRUE,FALSE,FALSE,42,34,0.1246059203125,26304
ENSOCUG00000010542,chr2,BNIP3L,BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085],43306127,43327873,120724_29,5.394999999999999e-4,43268889,0/11/26,0/0/32,FALSE,TRUE,FALSE,37,32,0.1246059203125,37238
ENSOCUG00000026518,GL018795,NA,NA,3939,209546,236043_57,5.558e-4,91925,1/26/10,8/7/8,FALSE,FALSE,TRUE,37,23,0.1246059203125,0
ENSOCUG00000017178,chr13,C8A,complement component 8 alpha subunit [Source:HGNC Symbol;Acc:HGNC:1352],109967539,110036311,22775_31,5.574999999999999e-4,109976895,1/18/18,2/1/19,FALSE,FALSE,TRUE,37,22,0.1246059203125,0
ENSOCUG00000017190,chr13,C8B,"complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:1353]",109907255,109953450,22775_31,5.574999999999999e-4,109976895,1/18/18,2/1/19,FALSE,TRUE,FALSE,37,22,0.1246059203125,23445
ENSOCUG00000017258,chr12,BTBD9,BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:21228],28247459,28491196,16525_20,5.721999999999999e-4,28301657,2/10/15,0/1/27,FALSE,FALSE,TRUE,27,28,0.1246059203125,0
ENSOCUG00000008336,chr14,SCAF4,SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304],161805804,161867993,41013_10,5.806e-4,161888437,0/1/39,1/9/20,TRUE,FALSE,FALSE,40,30,0.1246059203125,20444
ENSOCUG00000011371,chr7,GPR17,G protein-coupled receptor 17 [Source:HGNC Symbol;Acc:HGNC:4471],59381243,59382286,167108_62,5.93e-4,59400774,0/0/37,2/7/24,FALSE,TRUE,FALSE,37,33,0.1246059203125,18488
ENSOCUG00000011375,chr7,WDR33,WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651],59424129,59542196,167108_62,5.93e-4,59400774,0/0/37,2/7/24,FALSE,TRUE,FALSE,37,33,0.1246059203125,23355
ENSOCUG00000021633,chr7,LIMS2,LIM zinc finger domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16084],59374855,59401581,167108_62,5.93e-4,59400774,0/0/37,2/7/24,FALSE,FALSE,TRUE,37,33,0.1246059203125,0
ENSOCUG00000024605,chr7,NA,NA,59420658,59420801,167108_62,5.93e-4,59400774,0/0/37,2/7/24,TRUE,FALSE,FALSE,37,33,0.1246059203125,19884
ENSOCUG00000026619,chr7,MYO7B,myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607],59299083,59372325,167108_62,5.93e-4,59400774,0/0/37,2/7/24,FALSE,TRUE,FALSE,37,33,0.1246059203125,28449
ENSOCUG00000000187,chr4,CKAP4,cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991],90180057,90191587,148736_46,6.328999999999999e-4,90190951,0/12/24,0/0/29,FALSE,FALSE,TRUE,36,29,0.1246059203125,0
ENSOCUG00000010129,GL018735,SLC46A3,solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501],1741818,1764629,217656_41,6.389999999999999e-4,1734219,0/2/29,3/9/12,FALSE,TRUE,FALSE,31,24,0.1246059203125,7599
ENSOCUG00000010137,GL018735,POMP,proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330],1723929,1736287,217656_41,6.389999999999999e-4,1734219,0/2/29,3/9/12,FALSE,FALSE,TRUE,31,24,0.1246059203125,0
ENSOCUG00000015080,chr12,UTRN,utrophin [Source:HGNC Symbol;Acc:HGNC:12635],135131726,135560493,12280_7,6.471e-4,135449181,3/27/12,12/9/15,FALSE,FALSE,TRUE,42,36,0.1246059203125,0
ENSOCUG00000025866,GL018764,AK8,adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526],1316509,1403464,228791_37,6.494e-4,1427310,11/24/4,4/13/17,TRUE,FALSE,FALSE,39,34,0.1246059203125,23846
ENSOCUG00000007140,GL019004,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]",134665,158768,261389_34,6.569999999999999e-4,158699,2/16/20,13/14/7,FALSE,FALSE,TRUE,38,34,0.1246059203125,0
ENSOCUG00000011264,GL019004,FIBCD1,fibrinogen C domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25922],172929,194700,261389_34,6.569999999999999e-4,158699,2/16/20,13/14/7,FALSE,TRUE,FALSE,38,34,0.1246059203125,14230
ENSOCUG00000001250,chr15,EDNRA,endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179],17109144,17191949,50089_58,6.608e-4,17195169,0/0/40,1/8/27,TRUE,FALSE,FALSE,40,36,0.1246059203125,3220
ENSOCUG00000009375,GL018699,PPP6C,protein phosphatase 6 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9323],2179357,2216782,195840_55,6.648e-4,2238811,14/17/4,3/8/14,FALSE,TRUE,FALSE,35,25,0.1246059203125,22029
ENSOCUG00000012963,GL018699,SCAI,suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:HGNC:26709],2220301,2378637,195840_55,6.648e-4,2238811,14/17/4,3/8/14,FALSE,FALSE,TRUE,35,25,0.1246059203125,0
ENSOCUG00000017537,GL018867,NSMF,NMDA receptor synaptonuclear signaling and neuronal migration factor [Source:HGNC Symbol;Acc:HGNC:29843],578012,584804,248646_19,6.958e-4,582944,9/24/7,4/10/21,FALSE,FALSE,TRUE,40,35,0.1246059203125,0
ENSOCUG00000017564,GL018867,ENTPD8,ectonucleoside triphosphate diphosphohydrolase 8 [Source:HGNC Symbol;Acc:HGNC:24860],592755,597251,248646_19,6.958e-4,582944,9/24/7,4/10/21,TRUE,FALSE,FALSE,40,35,0.1246059203125,9811
ENSOCUG00000009937,chr14,SLC9C1,solute carrier family 9 member C1 [Source:HGNC Symbol;Acc:HGNC:31401],106964828,107060731,38686_77,7.331999999999999e-4,106993280,1/35/2,6/20/10,FALSE,FALSE,TRUE,38,36,0.1246059203125,0
ENSOCUG00000029264,chr14,NA,NA,106934085,106957438,38686_77,7.331999999999999e-4,106993280,1/35/2,6/20/10,TRUE,FALSE,FALSE,38,36,0.1246059203125,35842
ENSOCUG00000000722,GL018754,SCFD2,sec1 family domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30676],841114,1201713,225290_31,7.544e-4,1125806,0/0/32,0/7/14,FALSE,FALSE,TRUE,32,21,0.1246059203125,0
ENSOCUG00000005023,GL018746,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957],920574,935194,222983_77,7.674e-4,923155,0/14/10,0/3/24,FALSE,FALSE,TRUE,24,27,0.1246059203125,0
ENSOCUG00000006114,GL018746,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959],874020,919479,222983_77,7.674e-4,923155,0/14/10,0/3/24,FALSE,TRUE,FALSE,24,27,0.1246059203125,3676
ENSOCUG00000017124,chr7,ASB15,ankyrin repeat and SOCS box containing 15 [Source:HGNC Symbol;Acc:HGNC:19767],20941551,20972254,164583_47,7.768e-4,20954160,0/13/29,2/1/32,FALSE,FALSE,TRUE,42,35,0.1246059203125,0
ENSOCUG00000017131,chr7,LMOD2,leiomodin 2 [Source:HGNC Symbol;Acc:HGNC:6648],20911361,20919980,164583_47,7.768e-4,20954160,0/13/29,2/1/32,TRUE,FALSE,FALSE,42,35,0.1246059203125,34180
ENSOCUG00000008807,chr8,GYS2,glycogen synthase 2 [Source:HGNC Symbol;Acc:HGNC:4707],18513807,18576413,172632_74,7.856e-4,18530290,0/0/23,0/10/16,FALSE,FALSE,TRUE,23,26,0.1246059203125,0
ENSOCUG00000022015,chr8,LDHB,lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541],18476583,18493603,172632_74,7.856e-4,18530290,0/0/23,0/10/16,FALSE,TRUE,FALSE,23,26,0.1246059203125,36687
ENSOCUG00000013533,GL019133,IGHM,immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:HGNC:5541],69902,74082,267704_69,7.955999999999999e-4,59350,0/17/19,8/15/7,FALSE,TRUE,FALSE,36,30,0.1246059203125,10552
ENSOCUG00000026651,GL019133,NA,NA,19254,172606,267704_69,7.955999999999999e-4,59350,0/17/19,8/15/7,FALSE,FALSE,TRUE,36,30,0.1246059203125,0
ENSOCUG00000022531,chr12,CLIC5,chloride intracellular channel 5 [Source:HGNC Symbol;Acc:HGNC:13517],35172602,35275786,17924_58,7.967e-4,35275322,0/12/28,0/0/29,FALSE,FALSE,TRUE,40,29,0.1246059203125,0
ENSOCUG00000005062,chr15,KDR,kinase insert domain receptor [Source:HGNC Symbol;Acc:HGNC:6307],93607753,93653907,55009_52,8.041e-4,93659895,9/23/5,4/11/19,FALSE,TRUE,FALSE,37,34,0.1246059203125,5988
ENSOCUG00000016048,chr12,CDKN1A,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784],26617922,26619857,16129_14,8.049999999999999e-4,26605990,1/18/22,1/3/31,TRUE,FALSE,FALSE,41,35,0.1246059203125,11932
ENSOCUG00000016053,chr12,RAB44,"RAB44, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21068]",26628272,26652351,16129_14,8.049999999999999e-4,26605990,1/18/22,1/3/31,TRUE,FALSE,FALSE,41,35,0.1246059203125,22282
ENSOCUG00000007698,chr13,C1orf111,chromosome 1 open reading frame 111 [Source:HGNC Symbol;Acc:HGNC:27648],30641873,30644629,31496_19,8.102e-4,30617958,5/5/25,6/13/6,TRUE,FALSE,FALSE,35,25,0.1246059203125,23915
ENSOCUG00000027759,chr13,NA,NA,30631332,30975986,31496_19,8.102e-4,30617958,5/5/25,6/13/6,FALSE,TRUE,FALSE,35,25,0.1246059203125,13374
ENSOCUG00000029399,chr13,SH2D1B,SH2 domain containing 1B [Source:HGNC Symbol;Acc:HGNC:30416],30580926,30624057,31496_19,8.102e-4,30617958,5/5/25,6/13/6,FALSE,FALSE,TRUE,35,25,0.1246059203125,0
ENSOCUG00000007978,chr7,NRP2,neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005],146460077,146576654,161821_70,8.343e-4,146540948,3/2/32,0/12/20,FALSE,FALSE,TRUE,37,32,0.1246059203125,0
ENSOCUG00000008378,chr7,DPP10,dipeptidyl peptidase like 10 [Source:HGNC Symbol;Acc:HGNC:20823],67114365,67855130,168346_21,8.445999999999999e-4,67755802,0/0/40,0/7/19,FALSE,FALSE,TRUE,40,26,0.1246059203125,0
ENSOCUG00000023906,GL018767,NA,NA,1268898,1276365,229849_12,8.491999999999999e-4,1309055,0/20/15,0/5/26,TRUE,FALSE,FALSE,35,31,0.1246059203125,32690
