chromosome_id	chromosome_name	ensembl_gene_id	start_position	end_position	strand	external_gene_name	description
1	1	ENSOCUG00000000691	145675027	145675980	1	OLFR572	olfactory receptor 572  [Source:RefSeq peptide;Acc:NP_001164903]
1	1	ENSOCUG00000000693	145705848	145706858	1	OR51T1	olfactory receptor family 51 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:15205]
1	1	ENSOCUG00000000702	145715433	145716371	1	OR51A7	Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1U141]
1	1	ENSOCUG00000000704	145724327	145725268	-1	OR51G2	Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1TNS2]
1	1	ENSOCUG00000000705	145735613	145736560	-1	OR51G1	Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1THV1]
1	1	ENSOCUG00000000713	129407416	129698486	-1	TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]
1	1	ENSOCUG00000000715	174450772	174540825	1	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]
1	1	ENSOCUG00000000718	174575649	174726843	-1	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:HGNC Symbol;Acc:HGNC:10940]
1	1	ENSOCUG00000000721	174740454	174835888	-1	PAMR1	peptidase domain containing associated with muscle regeneration 1 [Source:HGNC Symbol;Acc:HGNC:24554]
1	1	ENSOCUG00000000733	54454046	54505696	1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TH48]
1	1	ENSOCUG00000000737	13354916	13387881	-1	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]
1	1	ENSOCUG00000000738	20417696	20451513	1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SDY6]
1	1	ENSOCUG00000000749	159269550	159292300	1	HTATIP2	HIV-1 Tat interactive protein 2 [Source:HGNC Symbol;Acc:HGNC:16637]
1	1	ENSOCUG00000000750	159294030	159448831	1	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]
1	1	ENSOCUG00000000757	159534717	159590441	1	SLC6A5	solute carrier family 6 (neurotransmitter transporter), member 5 [Source:HGNC Symbol;Acc:HGNC:11051]
1	1	ENSOCUG00000000761	159609193	159907907	1	NELL1	neural EGFL like 1 [Source:HGNC Symbol;Acc:HGNC:7750]
1	1	ENSOCUG00000000795	58821881	58831222	-1	ZFAND5	zinc finger, AN1-type domain 5 [Source:HGNC Symbol;Acc:HGNC:13008]
1	1	ENSOCUG00000000819	58321733	58350353	-1	ABHD17B	abhydrolase domain containing 17B [Source:HGNC Symbol;Acc:HGNC:24278]
1	1	ENSOCUG00000000822	70630116	70705783	-1	WNK2	WNK lysine deficient protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14542]
1	1	ENSOCUG00000000847	45429244	45862102	1	PTPRD	protein tyrosine phosphatase, receptor type, D [Source:HGNC Symbol;Acc:HGNC:9668]
1	1	ENSOCUG00000000861	184186458	184231084	1	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]
1	1	ENSOCUG00000000864	101025369	101257087	1	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]
1	1	ENSOCUG00000000905	194061531	194067045	1	NPAS4	neuronal PAS domain protein 4 [Source:HGNC Symbol;Acc:HGNC:18983]
1	1	ENSOCUG00000000957	138693911	138694363	-1	THRSP	thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]
1	1	ENSOCUG00000000958	138680349	138688210	1		NADH dehydrogenase [ubiquinone] 1 subunit C2  [Source:UniProtKB/TrEMBL;Acc:G1SEF1]
1	1	ENSOCUG00000000982	46416417	46420263	1	TMEM261	transmembrane protein 261 [Source:HGNC Symbol;Acc:HGNC:30536]
1	1	ENSOCUG00000001002	16680113	16741367	-1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SEI5]
1	1	ENSOCUG00000001004	146677345	146678286	1	OLFR651_1	Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1SEI6]
1	1	ENSOCUG00000001034	3635006	3795098	1	PTPN3	protein tyrosine phosphatase, non-receptor type 3 [Source:HGNC Symbol;Acc:HGNC:9655]
1	1	ENSOCUG00000001041	17356594	17440708	-1	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]
1	1	ENSOCUG00000001074	146158595	146159539	-1		
1	1	ENSOCUG00000001078	121990693	122108223	-1	AMOTL1	angiomotin like 1 [Source:HGNC Symbol;Acc:HGNC:17811]
1	1	ENSOCUG00000001083	189464667	189465614	1		Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1SEP6]
1	1	ENSOCUG00000001089	110678415	111069605	-1	GRIA4	glutamate receptor, ionotropic, AMPA 4 [Source:HGNC Symbol;Acc:HGNC:4574]
1	1	ENSOCUG00000001090	113845847	113860265	1	MMP27	matrix metallopeptidase 27 [Source:HGNC Symbol;Acc:HGNC:14250]
1	1	ENSOCUG00000001092	113830200	113840288	1	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]
1	1	ENSOCUG00000001094	189455848	189456798	1	OR8K1	olfactory receptor family 8 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:14831]
1	1	ENSOCUG00000001096	123182107	123184962	1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SEQ9]
1	1	ENSOCUG00000001103	111573022	111585250	1	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]
1	1	ENSOCUG00000001131	58141887	58227610	-1	TMEM2	transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:11869]
1	1	ENSOCUG00000001183	36228383	36462226	-1	SH3GL2	SH3-domain GRB2-like 2 [Source:HGNC Symbol;Acc:HGNC:10831]
1	1	ENSOCUG00000001196	107077547	107078197	-1	C11orf87	chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]
1	1	ENSOCUG00000001215	172613280	172695336	1	HIPK3	homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]
1	1	ENSOCUG00000001224	19162665	19163362	1	CCL27	chemokine (C-C motif) ligand 27 [Source:HGNC Symbol;Acc:HGNC:10626]
1	1	ENSOCUG00000001263	96820855	96892160	-1	TECTA	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]
1	1	ENSOCUG00000001299	153868578	153986744	1	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]
1	1	ENSOCUG00000001302	154012612	154073667	1	MICALCL	MICAL C-terminal like [Source:HGNC Symbol;Acc:HGNC:25933]
1	1	ENSOCUG00000001307	184491938	184493883	-1	TP53I11	tumor protein p53 inducible protein 11 [Source:HGNC Symbol;Acc:HGNC:16842]
1	1	ENSOCUG00000001311	186776056	186808475	-1	CELF1	CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]
1	1	ENSOCUG00000001320	26481674	26589887	-1	IFT74	intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424]
1	1	ENSOCUG00000001328	63590621	63836968	1	VPS13A	vacuolar protein sorting 13 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:1908]
1	1	ENSOCUG00000001338	190612228	190615383	-1	TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:11814]
1	1	ENSOCUG00000001344	172902325	172904340	1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TQD9]
1	1	ENSOCUG00000001347	189578204	189579136	-1		Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1SF88]
1	1	ENSOCUG00000001377	93432180	93433106	-1		Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1SFA8]
1	1	ENSOCUG00000001398	173444687	173481045	1	NAT10	N-acetyltransferase 10 (GCN5-related) [Source:HGNC Symbol;Acc:HGNC:29830]
1	1	ENSOCUG00000001403	93941059	93942000	-1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SFC7]
1	1	ENSOCUG00000001405	173489116	173658839	-1	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]
1	1	ENSOCUG00000001433	93441975	93442928	-1		Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1SFF0]
1	1	ENSOCUG00000001495	147028724	147030714	-1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SFJ6]
1	1	ENSOCUG00000001515	19132434	19133670	1	CCL19	chemokine (C-C motif) ligand 19 [Source:HGNC Symbol;Acc:HGNC:10617]
1	1	ENSOCUG00000001532	173209644	173222766	-1	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]
1	1	ENSOCUG00000001548	69537919	69647427	-1	RASEF	RAS and EF-hand domain containing [Source:HGNC Symbol;Acc:HGNC:26464]
1	1	ENSOCUG00000001616	62290512	62721376	1	PCSK5	proprotein convertase subtilisin/kexin type 5 [Source:HGNC Symbol;Acc:HGNC:8747]
1	1	ENSOCUG00000001622	62749021	62763820	-1	RFK	riboflavin kinase [Source:HGNC Symbol;Acc:HGNC:30324]
1	1	ENSOCUG00000001629	121903885	121920964	1	CWC15	CWC15 spliceosome-associated protein [Source:HGNC Symbol;Acc:HGNC:26939]
1	1	ENSOCUG00000001631	121868368	121869852	-1		
1	1	ENSOCUG00000001670	185179185	185257125	-1	PEX16	peroxisomal biogenesis factor 16 [Source:HGNC Symbol;Acc:HGNC:8857]
1	1	ENSOCUG00000001671	185260003	185266469	1	GYLTL1B	glycosyltransferase-like 1B [Source:HGNC Symbol;Acc:HGNC:16522]
1	1	ENSOCUG00000001675	185270781	185446373	-1	PHF21A	PHD finger protein 21A [Source:HGNC Symbol;Acc:HGNC:24156]
1	1	ENSOCUG00000001695	79590183	79596869	-1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SFY0]
1	1	ENSOCUG00000001714	101861360	101884868	-1	NXPE1	NXPE family member 1 precursor  [Source:RefSeq peptide;Acc:NP_001095182]
1	1	ENSOCUG00000001726	140610731	140630731	1	Wnt-11	WNT-11 protein  [Source:RefSeq peptide;Acc:NP_001075693]
1	1	ENSOCUG00000001730	85675505	85716289	1	SNX19	sorting nexin 19 [Source:HGNC Symbol;Acc:HGNC:21532]
1	1	ENSOCUG00000001789	141815993	141862334	-1	RNF169	ring finger protein 169 [Source:HGNC Symbol;Acc:HGNC:26961]
1	1	ENSOCUG00000001854	149383408	149384340	1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SG97]
1	1	ENSOCUG00000001868	4234064	4306902	1	IKBKAP	elongator complex protein 1  [Source:RefSeq peptide;Acc:NP_001076124]
1	1	ENSOCUG00000001882	4225959	4229556	-1	FAM206A	family with sequence similarity 206 member A [Source:HGNC Symbol;Acc:HGNC:1364]
1	1	ENSOCUG00000001887	4047607	4152166	1	TMEM245	transmembrane protein 245 [Source:HGNC Symbol;Acc:HGNC:1363]
1	1	ENSOCUG00000001904	19011842	19013572	1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TFG6]
1	1	ENSOCUG00000001925	170826680	171106461	1	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]
1	1	ENSOCUG00000001933	187290554	187417474	1	PTPRJ	protein tyrosine phosphatase, receptor type, J [Source:HGNC Symbol;Acc:HGNC:9673]
1	1	ENSOCUG00000001953	70837758	70877936	-1	SUSD3	sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]
1	1	ENSOCUG00000001990	72044416	72127165	1	NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:24340]
1	1	ENSOCUG00000001992	16514248	16543848	1	FBXO10	F-box protein 10 [Source:HGNC Symbol;Acc:HGNC:13589]
1	1	ENSOCUG00000001996	16476480	16479952	1	TOMM5	translocase of outer mitochondrial membrane 5 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:31369]
1	1	ENSOCUG00000001999	72132198	72165562	-1	GOLM1	golgi membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:15451]
1	1	ENSOCUG00000002019	26020642	26021238	-1	IFNK	interferon, kappa [Source:HGNC Symbol;Acc:HGNC:21714]
1	1	ENSOCUG00000002040	148403090	148404037	1	OR10A4	olfactory receptor family 10 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:15130]
1	1	ENSOCUG00000002052	186226060	186278260	-1	LRP4	LDL receptor related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]
1	1	ENSOCUG00000002062	145506227	145507174	-1		Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1SGQ9]
1	1	ENSOCUG00000002064	145496637	145497599	-1	OR51E2	olfactory receptor 51E2  [Source:RefSeq peptide;Acc:NP_001164896]
1	1	ENSOCUG00000002066	186291585	186537600	1	C11orf49	chromosome 11 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28720]
1	1	ENSOCUG00000002073	186537949	186549031	-1		
1	1	ENSOCUG00000002076	186576128	186593918	1	DDB2	damage-specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]
1	1	ENSOCUG00000002095	186608829	186615938	1	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]
1	1	ENSOCUG00000002097	146940517	146941446	1		
1	1	ENSOCUG00000002099	186620644	186661365	1	MADD	MAP-kinase activating death domain [Source:HGNC Symbol;Acc:HGNC:6766]
1	1	ENSOCUG00000002111	63425596	63427427	1	FOXB2	forkhead box B2 [Source:HGNC Symbol;Acc:HGNC:23315]
1	1	ENSOCUG00000002112	186662626	186679272	-1	MYBPC3	myosin binding protein C, cardiac [Source:HGNC Symbol;Acc:HGNC:7551]
1	1	ENSOCUG00000002114	146617940	146653039	1	TRIM5	tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]
1	1	ENSOCUG00000002138	192300867	192301796	1	OR4D10	olfactory receptor family 4 subfamily D member 10 [Source:HGNC Symbol;Acc:HGNC:15173]
1	1	ENSOCUG00000002141	192308689	192309624	1	OR4D11	olfactory receptor family 4 subfamily D member 11 [Source:HGNC Symbol;Acc:HGNC:15174]
1	1	ENSOCUG00000002146	192323321	192324217	1	OR4D9	olfactory receptor family 4 subfamily D member 9 [Source:HGNC Symbol;Acc:HGNC:15178]
1	1	ENSOCUG00000002148	192371391	192413266	-1	OSBP	oxysterol-binding protein 1  [Source:RefSeq peptide;Acc:NP_001075702]
1	1	ENSOCUG00000002156	192438348	192472361	-1	PATL1	protein associated with topoisomerase II homolog 1 (yeast) [Source:HGNC Symbol;Acc:HGNC:26721]
1	1	ENSOCUG00000002174	104201274	104209167	-1	TEX12	testis expressed 12 [Source:HGNC Symbol;Acc:HGNC:11734]
1	1	ENSOCUG00000002231	51852056	51887742	-1	VLDLR	Very low-density lipoprotein receptor  [Source:UniProtKB/Swiss-Prot;Acc:P35953]
1	1	ENSOCUG00000002420	192825931	192833039	1	MS4A3	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific) [Source:HGNC Symbol;Acc:HGNC:7317]
1	1	ENSOCUG00000002438	16176016	16227137	-1	DCAF10	DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:HGNC:23686]
1	1	ENSOCUG00000002452	156699246	156702569	-1	CALCA	calcitonin-related polypeptide alpha [Source:HGNC Symbol;Acc:HGNC:1437]
1	1	ENSOCUG00000002462	34118867	34381029	1	SLC24A2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:HGNC Symbol;Acc:HGNC:10976]
1	1	ENSOCUG00000002481	113615791	113627810	1	MMP13	Collagenase 3  [Source:UniProtKB/TrEMBL;Acc:G1SHN2]
1	1	ENSOCUG00000002488	146896735	146897685	-1	OR52N1	olfactory receptor family 52 subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:14853]
1	1	ENSOCUG00000002523	141995052	142055821	-1	POLD3	polymerase (DNA-directed), delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]
1	1	ENSOCUG00000002551	36539442	36916529	-1	CNTLN	centlein [Source:HGNC Symbol;Acc:HGNC:23432]
1	1	ENSOCUG00000002573	19828874	19909518	1	UBAP2	ubiquitin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:14185]
1	1	ENSOCUG00000002609	92485618	92485836	-1	NRGN	neurogranin [Source:HGNC Symbol;Acc:HGNC:8000]
1	1	ENSOCUG00000002623	92468018	92479309	1	ESAM	endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]
1	1	ENSOCUG00000002626	150023845	150029472	-1	LMO1	LIM domain only 1 [Source:HGNC Symbol;Acc:HGNC:6641]
1	1	ENSOCUG00000002631	92426838	92463132	1	MSANTD2	Myb/SANT-like DNA-binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26266]
1	1	ENSOCUG00000002635	92362378	92378807	-1	ROBO3	roundabout guidance receptor 3 [Source:HGNC Symbol;Acc:HGNC:13433]
1	1	ENSOCUG00000002637	55082579	55083442	1	FAM122A	family with sequence similarity 122A [Source:HGNC Symbol;Acc:HGNC:23490]
1	1	ENSOCUG00000002647	92347264	92360372	1	ROBO4	roundabout guidance receptor 4 [Source:HGNC Symbol;Acc:HGNC:17985]
1	1	ENSOCUG00000002653	18786781	18793072	1	PIGO	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]
1	1	ENSOCUG00000002654	148262049	148262999	-1		Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1U3Y5]
1	1	ENSOCUG00000002655	92321748	92334381	1	HEPACAM	hepatic and glial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:26361]
1	1	ENSOCUG00000002684	95103116	95106721	1	BSX	brain specific homeobox [Source:HGNC Symbol;Acc:HGNC:20450]
1	1	ENSOCUG00000002687	94226882	94229774	1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SI30]
1	1	ENSOCUG00000002692	97040966	97353739	-1	GRIK4	glutamate receptor, ionotropic, kainate 4 [Source:HGNC Symbol;Acc:HGNC:4582]
1	1	ENSOCUG00000002805	152222925	152261773	1	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]
1	1	ENSOCUG00000002807	152267455	152308505	-1	RNF141	ring finger protein 141 [Source:HGNC Symbol;Acc:HGNC:21159]
1	1	ENSOCUG00000002831	97671394	97760682	-1	POU2F3	POU class 2 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:19864]
1	1	ENSOCUG00000002860	122255099	122302114	-1	PIWIL4	piwi-like RNA-mediated gene silencing 4 [Source:HGNC Symbol;Acc:HGNC:18444]
1	1	ENSOCUG00000002876	96909651	96978705	-1	TBCEL	tubulin folding cofactor E-like [Source:HGNC Symbol;Acc:HGNC:28115]
1	1	ENSOCUG00000002882	108423951	108447027	-1	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]
1	1	ENSOCUG00000002930	113919834	113966036	1	MMP20	matrix metallopeptidase 20 [Source:HGNC Symbol;Acc:HGNC:7167]
1	1	ENSOCUG00000002959	189530301	189531236	1		Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1SIQ4]
1	1	ENSOCUG00000002968	191518378	191519414	1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SIR3]
1	1	ENSOCUG00000002973	74451134	74484677	-1	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]
1	1	ENSOCUG00000002985	189407072	189407992	1		Olfactory receptor  [Source:UniProtKB/TrEMBL;Acc:G1SIS8]
1	1	ENSOCUG00000003024	92630425	92636390	-1	PANX3	pannexin 3 [Source:HGNC Symbol;Acc:HGNC:20573]
1	1	ENSOCUG00000003027	92616617	92626980	-1	TBRG1	transforming growth factor beta regulator 1 [Source:HGNC Symbol;Acc:HGNC:29551]
1	1	ENSOCUG00000003036	92567521	92611217	1	SIAE	sialic acid acetylesterase [Source:HGNC Symbol;Acc:HGNC:18187]
1	1	ENSOCUG00000003044	92552344	92565075	-1	SPA17	Sperm surface protein Sp17  [Source:UniProtKB/Swiss-Prot;Acc:P36425]
1	1	ENSOCUG00000003076	156789377	156793648	1	CALCB	calcitonin-related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438]
